,Address,Price,Stats,Link
0,"1009 ORCHARD RD, Henrico, VA 23226","        $339,000      "," 4 Beds 2 Baths 1,462 Sq Ft ",https://www.remax.com//va/richmond/home-details/1009-orchard-rd-richmond-va-23226/14156473589093518220/M00000643/2302804
1,"1404 PEACHTREE BLVD, Henrico, VA 23226","        $749,950      "," 4 Beds 3 Baths 3,424 Sq Ft ",https://www.remax.com//va/richmond/home-details/1404-peachtree-blvd-richmond-va-23226/1961265124885941799/M00000643/2303862
2,"4632 LEONARD PKWY, Richmond, VA 23226","        $499,950      "," 3 Beds 2 Baths 1,776 Sq Ft ",https://www.remax.com//va/richmond/home-details/4632-leonard-pkwy-richmond-va-23226/15992388144195710888/M00000643/2303891
3,"209 N 19TH ST # U22, Richmond, VA 23223","        $249,900      "," 2 Beds 2 Baths 1,067 Sq Ft ",https://www.remax.com//va/richmond/home-details/209-n-19th-st-u22-richmond-va-23223/12659329092849881767/M00000643/2303892
4,"2308 BARTON AVE, Richmond, VA 23222","        $319,900      "," 3 Beds 2 Baths 1,651 Sq Ft ",https://www.remax.com//va/richmond/home-details/2308-barton-ave-richmond-va-23222/4208618437247269000/M00000643/2304006
5,"3530 E RICHMOND RD # U20, Richmond, VA 23223","        $105,000      ", 2 Beds 1 Baths 780 Sq Ft ,https://www.remax.com//va/richmond/home-details/3530-e-richmond-rd-u20-richmond-va-23223/4041205304196242531/M00000643/2304063
6,"19 W CHARITY ST, Richmond, VA 23220","        $190,000      "," — Beds — Baths 1,976 Sq Ft ",https://www.remax.com//va/richmond/home-details/19-w-charity-st-richmond-va-23220/5850182792040682075/M00000643/2304112
7,"919 ST JOHN ST, Richmond, VA 23220","        $190,000      "," — Beds — Baths 1,800 Sq Ft ",https://www.remax.com//va/richmond/home-details/919-st-john-st-richmond-va-23220/4153481609205408627/M00000643/2304113
8,"1900 ROSENEATH RD # 4B, Richmond, VA 23230","        $478,320      "," 2 Beds 3 Baths 1,517 Sq Ft ",https://www.remax.com//va/richmond/home-details/1900-roseneath-rd-4b-richmond-va-23230/3748038803729118147/M00000643/2304140
9,"1900 ROSENEATH RD # 10A, Richmond, VA 23230","        $602,840      "," 3 Beds 3 Baths 2,516 Sq Ft ",https://www.remax.com//va/richmond/home-details/1900-roseneath-rd-10a-richmond-va-23230/11715604971161957553/M00000643/2304144
10,"1900 ROSENEATH RD # 9A, Richmond, VA 23230","        $583,610      "," 3 Beds 3 Baths 2,516 Sq Ft ",https://www.remax.com//va/richmond/home-details/1900-roseneath-rd-9a-richmond-va-23230/14320683728019950783/M00000643/2304146
11,"5306 HORNE ST, Richmond, VA 23226","        $209,150      "," 3 Beds 1 Baths 1,400 Sq Ft ",https://www.remax.com//va/richmond/home-details/5306-horne-st-richmond-va-23226/12142413258118235628/M00000646/10297597
12,"3219 FENDALL AVE, Richmond, VA 23222","        $359,000      "," — Beds — Baths 2,036 Sq Ft ",https://www.remax.com//va/richmond/home-details/3219-fendall-ave-richmond-va-23222/12329218238716734276/M00000643/2233172
13,"2008 MILLER AVE, Richmond, VA 23222","        $380,000      "," 3 Beds 3 Baths 2,116 Sq Ft ",https://www.remax.com//va/richmond/home-details/2008-miller-ave-richmond-va-23222/605011751062799244/M00000643/2302877
14,"6601 GLYNDON LN, Richmond, VA 23225","        $600,000      "," 5 Beds 4 Baths 2,030 Sq Ft ",https://www.remax.com//va/richmond/home-details/6601-glyndon-ln-richmond-va-23225/1696469323934181606/M00000643/2303098
15,"1810 WOODBINE RD, Richmond, VA 23225","        $450,000      "," 3 Beds 2 Baths 1,638 Sq Ft ",https://www.remax.com//va/richmond/home-details/1810-woodbine-rd-richmond-va-23225/5265160271930667587/M00000643/2303242
16,"2908 EDGEWOOD AVE, Richmond, VA 23222","        $569,000      "," 5 Beds 3 Baths 2,766 Sq Ft ",https://www.remax.com//va/richmond/home-details/2908-edgewood-ave-richmond-va-23222/16451091758050862752/M00000643/2303372
17,"3105 GROVELAND AVE, Richmond, VA 23222","        $299,900      "," 3 Beds 2 Baths 1,335 Sq Ft ",https://www.remax.com//va/richmond/home-details/3105-groveland-ave-richmond-va-23222/8580218008945750980/M00000643/2303517
18,"2304 N 29TH ST, Richmond, VA 23223","        $174,950      ", 3 Beds 1 Baths 863 Sq Ft ,https://www.remax.com//va/richmond/home-details/2304-n-29th-st-richmond-va-23223/8075841973915914781/M00000643/2303600
19,"511B LIBBIE AVE # 2, Richmond, VA 23226","        $1,219,000      "," 4 Beds 4 Baths 3,033 Sq Ft ",https://www.remax.com//va/richmond/home-details/511b-libbie-ave-2-richmond-va-23226/9060021639650652349/M00000643/2303935
20,"2224 PROVIDENCE CREEK RD, Richmond, VA 23236","        $299,900      "," 4 Beds 2 Baths 1,532 Sq Ft ",https://www.remax.com//va/north-chesterfield/home-details/2224-providence-creek-rd-north-chesterfield-va-23236/7427645442193359069/M00000643/2303937
21,"4901 HOPKINS RD, Richmond, VA 23234","        $345,000      "," 4 Beds 3 Baths 2,488 Sq Ft ",https://www.remax.com//va/north-chesterfield/home-details/4901-hopkins-rd-north-chesterfield-va-23234/15448715145031063882/M00000643/2304002
22,"1528 N LOMBARDY ST # A, Richmond, VA 23220","        $400,590      "," 3 Beds 3 Baths 1,574 Sq Ft ",https://www.remax.com//va/richmond/home-details/1528-n-lombardy-st-a-richmond-va-23220/9510601264652359015/M00000643/2304033
23,"510 HOLLY SPRING AVE, Richmond, VA 23224","        $379,995      "," 3 Beds 3 Baths 1,605 Sq Ft ",https://www.remax.com//va/richmond/home-details/510-holly-spring-ave-richmond-va-23224/4690549722024872372/M00000643/2304077
24,"1410 LYNHAVEN AVE, Richmond, VA 23224","        $125,000      ", 3 Beds 1 Baths 864 Sq Ft ,https://www.remax.com//va/richmond/home-details/1410-lynhaven-ave-richmond-va-23224/12896028551879217988/M00000643/2304087
25,"1900 ROSENEATH RD # 7A, Richmond, VA 23230","        $587,240      "," 3 Beds 3 Baths 2,516 Sq Ft ",https://www.remax.com//va/richmond/home-details/1900-roseneath-rd-7a-richmond-va-23230/6430382148572040549/M00000643/2304091
26,"3733 BIRDWOOD RD, Richmond, VA 23234","        $250,000      "," 4 Beds 2 Baths 1,834 Sq Ft ",https://www.remax.com//va/richmond/home-details/3733-birdwood-rd-richmond-va-23234/9973766836407001318/M00000643/2304097
27,"105 SENECA RD, Richmond, VA 23226","        $859,950      "," 4 Beds 3 Baths 2,744 Sq Ft ",https://www.remax.com//va/richmond/home-details/105-seneca-rd-richmond-va-23226/15158740332815910800/M00000643/2302130
28,"3351 WOODYS LN, Richmond, VA 23234","        $254,950      "," 4 Beds 2 Baths 1,474 Sq Ft ",https://www.remax.com//va/richmond/home-details/3351-woodys-ln-richmond-va-23234/13902703082879236149/M00000643/2303068
29,"236 E 14TH ST, Richmond, VA 23224","        $165,000      ", 2 Beds 1 Baths 790 Sq Ft ,https://www.remax.com//va/richmond/home-details/236-e-14th-st-richmond-va-23224/3538638574628556769/M00000643/2303624
30,"1900 ROSENEATH RD # 2B, Richmond, VA 23230","        $478,240      "," 2 Beds 3 Baths 1,501 Sq Ft ",https://www.remax.com//va/richmond/home-details/1900-roseneath-rd-2b-richmond-va-23230/15759011068174969565/M00000643/2303828
31,"3527 BOLLING RD, Richmond, VA 23223","        $475,000      "," — Beds — Baths 5,250 Sq Ft ",https://www.remax.com//va/richmond/home-details/3527-bolling-rd-richmond-va-23223/8467783892304457972/M00000643/2303843
32,"1900 ROSENEATH RD # 8B, Richmond, VA 23230","        $476,440      "," 3 Beds 3 Baths 1,503 Sq Ft ",https://www.remax.com//va/richmond/home-details/1900-roseneath-rd-8b-richmond-va-23230/208114748999696975/M00000643/2303846
33,"1900 ROSENEATH RD # 5B, Richmond, VA 23230","        $477,640      "," 3 Beds 3 Baths 1,501 Sq Ft ",https://www.remax.com//va/richmond/home-details/1900-roseneath-rd-5b-richmond-va-23230/10166896061325821664/M00000643/2303849
34,"1900 ROSENEATH RD # 3A, Richmond, VA 23230","        $584,360      "," 3 Beds 3 Baths 2,141 Sq Ft ",https://www.remax.com//va/richmond/home-details/1900-roseneath-rd-3a-richmond-va-23230/5708267543115057865/M00000643/2303877
35,"1900 ROSENEATH RD # 4A, Richmond, VA 23230","        $589,540      "," 3 Beds 3 Baths 2,141 Sq Ft ",https://www.remax.com//va/richmond/home-details/1900-roseneath-rd-4a-richmond-va-23230/7278403967372684016/M00000643/2303887
36,"1900 ROSENEATH RD # 5A, Richmond, VA 23230","        $580,090      "," 3 Beds 3 Baths 2,141 Sq Ft ",https://www.remax.com//va/richmond/home-details/1900-roseneath-rd-5a-richmond-va-23230/13303705330619008435/M00000643/2303890
37,"16 E 34TH ST, Richmond, VA 23224","        $274,999      "," 3 Beds 1 Baths 1,079 Sq Ft ",https://www.remax.com//va/richmond/home-details/16-e-34th-st-richmond-va-23224/7114491475696695893/M00000643/2303928
38,"2900 LAMB AVE, Richmond, VA 23222","        $234,750      "," 2 Beds 1 Baths 1,030 Sq Ft ",https://www.remax.com//va/richmond/home-details/2900-lamb-ave-richmond-va-23222/15248771379685038092/M00000643/2303953
39,"3048 & 3050 LOGANDALE AVENUE, Richmond, VA 23224","        $65,000      ",   0.24  Acres,https://www.remax.com//va/richmond/home-details/3048-3050-logandale-avenue-richmond-va-23224/546832497678138675/M00000643/2303998
40,"527 N 21ST ST, Richmond, VA 23223","        $412,500      "," 2 Beds 3 Baths 1,340 Sq Ft ",https://www.remax.com//va/richmond/home-details/527-n-21st-st-richmond-va-23223/838130862094281573/M00000643/2302874
41,"813 N 25TH ST, Richmond, VA 23223","        $325,000      "," 2 Beds 2 Baths 1,240 Sq Ft ",https://www.remax.com//va/richmond/home-details/813-n-25th-st-richmond-va-23223/3157355360259767626/M00000643/2303437
42,"1025 RENNIE AVE, Richmond, VA 23227","        $524,950      "," 3 Beds 3 Baths 2,184 Sq Ft ",https://www.remax.com//va/richmond/home-details/1025-rennie-ave-richmond-va-23227/15271702019804477359/M00000643/2303597
43,"3205 ELLWOOD AVE, Richmond, VA 23221","        $450,000      "," — Beds — Baths 2,460 Sq Ft ",https://www.remax.com//va/richmond/home-details/3205-ellwood-ave-richmond-va-23221/12271446225639011966/M00000643/2304029
44,"4827 MORRISON RD, Henrico, VA 23230","        $455,000      "," 3 Beds 4 Baths 2,048 Sq Ft ",https://www.remax.com//va/richmond/home-details/4827-morrison-rd-richmond-va-23230/16083640831637782916/M00000643/2300985
45,"1301 HOPKINS RD, Ampthill, VA 23224","        $259,995      "," 3 Beds 2 Baths 1,222 Sq Ft ",https://www.remax.com//va/richmond/home-details/1301-hopkins-rd-richmond-va-23224/1800166737868153216/M00000643/2301750
46,"4211 MONUMENT AVE, Richmond, VA 23230","        $795,000      "," 4 Beds 4 Baths 3,379 Sq Ft ",https://www.remax.com//va/richmond/home-details/4211-monument-ave-richmond-va-23230/6076121944958219029/M00000643/2303670
47,"1823 ROSE AVE, Richmond, VA 23222","        $449,000      "," 3 Beds 3 Baths 1,895 Sq Ft ",https://www.remax.com//va/richmond/home-details/1823-rose-ave-richmond-va-23222/6318706852862239814/M00000643/2303754
48,"6306 WORTHINGTON RD, Richmond, VA 23225","        $259,990      "," 3 Beds 2 Baths 1,320 Sq Ft ",https://www.remax.com//va/richmond/home-details/6306-worthington-rd-richmond-va-23225/2427236564538493364/M00000643/2303756
49,"8822 CHIPPENHAM RD, Richmond, VA 23235","        $489,500      "," 3 Beds 3 Baths 2,028 Sq Ft ",https://www.remax.com//va/richmond/home-details/8822-chippenham-rd-richmond-va-23235/10626681407712158390/M00000643/2303089
50,"2902 GRAYLAND AVE, Richmond, VA 23221","        $475,000      "," 3 Beds 2 Baths 1,420 Sq Ft ",https://www.remax.com//va/richmond/home-details/2902-grayland-ave-richmond-va-23221/11241866636258634409/M00000643/2303415
51,"2956 HATHAWAY RD # U103, Richmond, VA 23225","        $289,900      "," 2 Beds 2 Baths 1,379 Sq Ft ",https://www.remax.com//va/richmond/home-details/2956-hathaway-rd-u103-richmond-va-23225/11913400517273230200/M00000643/2303436
52,"2414 WARWICK AVE, Richmond, VA 23224","        $209,950      ", 3 Beds 1 Baths 825 Sq Ft ,https://www.remax.com//va/richmond/home-details/2414-warwick-ave-richmond-va-23224/14348663129813863932/M00000643/2303463
53,"2421 OWNBY LN # B3, Richmond, VA 23220","        $494,840      "," 2 Beds 3 Baths 1,517 Sq Ft ",https://www.remax.com//va/richmond/home-details/2421-ownby-ln-b3-richmond-va-23220/1895836856793775138/M00000643/2303685
54,"2415 OWNBY LN # B1, Richmond, VA 23220","        $514,860      "," 3 Beds 3 Baths 1,570 Sq Ft ",https://www.remax.com//va/richmond/home-details/2415-ownby-ln-b1-richmond-va-23220/9517913869882053029/M00000643/2303686
55,"2423 OWNBY LN # B5, Richmond, VA 23220","        $499,490      "," 2 Beds 3 Baths 1,528 Sq Ft ",https://www.remax.com//va/richmond/home-details/2423-ownby-ln-b5-richmond-va-23220/16990892762666968250/M00000643/2303691
56,"2417 OWNBY LN # B2, Richmond, VA 23220","        $633,660      "," 3 Beds 3 Baths 2,534 Sq Ft ",https://www.remax.com//va/richmond/home-details/2417-ownby-ln-b2-richmond-va-23220/7844559969686100532/M00000643/2303695
57,"4252 SHEFFIELD RD, Richmond, VA 23224","        $230,000      "," 2 Beds 1 Baths 1,016 Sq Ft ",https://www.remax.com//va/richmond/home-details/4252-sheffield-rd-richmond-va-23224/8977164712707964870/M00000643/2303709
58,"801 E BELT BLVD, Richmond, VA 23224","        $275,000      "," 4 Beds 2 Baths 1,350 Sq Ft ",https://www.remax.com//va/richmond/home-details/801-e-belt-blvd-richmond-va-23224/12776498320652125376/M00000643/2303714
59,"8727 ELM RD, Richmond, VA 23235","        $275,000      "," 2 Beds 1 Baths 1,019 Sq Ft ",https://www.remax.com//va/richmond/home-details/8727-elm-rd-richmond-va-23235/2089972223569235231/M00000643/2303724
